Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers	UpperBound2
PTB	0.126657251961	1.72893894203	7.68133312172	20.8441338937	4.57682506549	5.23475913508	4.97423334165	4.84942447893	4.77499371464	0.2	300	256	1	0.002	REAL	0.0	32	30	0.126657251961	0	dsf	92	512	2	6.4326605436
Arabic	0.0857788505607	0.46882601156	9.95651604278	17.7912194939	5.3856704195	6.41677773473	5.96444969041	5.76790138269	5.65851791413	0.1	150	512	1	0.001	REAL_REAL	0.05	16	30	0.0857788505607	3	ddsf	9	512	2	6.77990568113
Japanese	0.00551393692536	0.64185446818	40.3117843311	11.6669936499	5.24800701236	5.33303814564	5.29741176968	5.28046677681	5.27071334057	0.1	150	512	1	0.0001	REAL_REAL	0.05	2	30	0.00551393692536	3	ddsf	21	512	2	6.35948816097
Japanese	0.00532762446125	-1.77321881906	153.480659537	6.30652351067	5.35633504555	7.15001541368	6.32574826729	5.96706038704	5.7802400325	0.1	150	512	1	0.001	REAL_REAL	0.05	2	30	0.00532762446125	4	ddsf	14	512	2	0
LDC95T8	0.0796156091902	3.25974767394	12.3720214459	31.1782619765	3.95828343864	4.48270660167	4.28061749129	4.17456575777	4.11408761309	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0796156091902	5	ddsf	131	512	2	15.1504376499
Russian	0.233730292877	0.119013766463	2.1939600325	11.5330063228	5.15552614268	6.08615681439	5.6672989605	5.48902021889	5.39240604703	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.233730292877	0	ddsf	42	512	2	6.27177458129
LDC2012T05	0.115027846486	0.776301563696	7.08738943528	24.3137400651	5.58680920704	6.64940212599	6.2151297823	6.01315878317	5.89699140485	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.115027846486	4	ddsf	37	512	2	7.08918171102
Japanese	0.0152005151856	-1.17470789828	93.9713953857	6.34660626418	5.35902046611	6.47269989474	5.93823335321	5.72652886193	5.61776495461	0.1	150	512	1	0.001	REAL_REAL	0.05	2	30	0.0152005151856	3	dsf	10	512	2	0
PTB	0.0248567524062	2.78969444922	22.5975342064	39.240883531	4.54328240434	4.74820289408	4.66984462582	4.63083460857	4.607713014	0.2	100	256	1	0.0001	REAL	0.1	32	30	0.0248567524062	1	dsf	145	512	2	25.5406682537
LDC95T8	0.00754561997977	3.3185890171	58.3344193164	30.8001033333	3.8890670503	4.4849152232	4.25195310532	4.12964977943	4.06016531427	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00754561997977	4	dsf	32	512	2	15.0556210273
LDC95T8	0.0114382332469	3.91699867555	31.6504583688	75.7186419542	3.97718797472	4.14195126495	4.08077380243	4.04794121927	4.02882141237	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.0114382332469	4	dsf	189	512	2	123.232637917
Japanese	0.489001291431	-0.40193854258	0.41248384469	6.34730121959	5.32440810472	6.37641690738	5.84801592148	5.65191562	5.55423259028	0.1	150	512	1	0.0001	REAL_REAL	0.05	2	30	0.489001291431	3	dsf	24	512	2	0
Japanese	0.00438545067717	0.735619121553	36.5101227642	11.6692874781	5.23402507184	5.30738381438	5.27680390433	5.26337028888	5.25596670117	0.1	150	512	1	5e-05	REAL_REAL	0.05	2	30	0.00438545067717	5	dsf	36	512	2	6.37169204268
Arabic	0.0095122445543	2.12280315878	45.6806772257	44.4373279679	5.27487522059	5.39792416698	5.35742871602	5.33370899312	5.31894246031	0.1	150	512	1	0.0001	REAL_REAL	0.05	32	30	0.0095122445543	2	ddsf	63	512	2	23.2235078693
Arabic	0.123770801545	0.697606694289	12.9209916738	23.1796442498	5.35500028001	6.10243473494	5.78537933728	5.64405426049	5.56441179231	0.1	150	512	1	0.0005	REAL_REAL	0.05	32	30	0.123770801545	3	ddsf	16	512	2	6.77449670141
Russian	0.226034903033	0.527079284142	1.46435578827	16.8560654735	5.23575725941	5.8939297122	5.59508183251	5.47027557271	5.40267347641	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.226034903033	4	dsf	166	512	2	6.27729235903
LDC95T8	0.00896768886555	4.28068106641	41.9165542852	73.6011069989	3.83904144553	4.0035835314	3.94478854249	3.91160141652	3.89224901008	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.00896768886555	5	dsf	170	512	2	119.451924432
Russian	0.0183780610755	1.35104993228	19.4313008785	31.94722005	5.07627187706	5.23764714121	5.17083173002	5.13948828668	5.12145087469	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0183780610755	1	dsf	44	512	2	11.5398826788
