Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers
PTB	0.472059640614	-0.715987344357	0.944558590442	16.3596579954	4.84090373322	6.2353419364	5.7192595941	5.4288592873	5.28579328823	0.0	50	256	1	0.0005	REAL	0.1	32	30	0.472059640614	0	dsf	108	512	2
rrxor	0.631144456383	-0.395436706106	0.0126721698889	4.56901544062	0.87012837994	0.947494186368	0.947432431435	0.93390973741	0.9240254242	0.0	50	32	1	0.001	REAL	0.0	16	30	0.631144456383	2	dsf	10	32	2
English	0.161007642283	0.601514836681	2.19564384715	8.32926733993	1.86194247292	2.08949714951	2.00642195854	1.96262131714	1.93556778727	0.0	200	128	1	0.002	REAL	0.2	16	30	0.161007642283	7	dsf	24	512	2
PTB	0.0084675096517	2.24669189501	44.0651347554	30.26646424	4.59890324082	4.65449436728	4.70937686494	4.67456098809	4.67440430769	0.1	100	256	1	0.0001	REAL	0.0	32	30	0.0084675096517	0	ddsf	102	512	2
forget2_0_5b	0.0893961195236	0.109218363569	0.713072619808	0.693146358267	0.563280044559	0.583463144133	0.572888283314	0.56922145772	0.567375766433	0.2	50	32	1	0.0005	REAL	0.1	32	30	0.0893961195236	4	dsf	10	512	2
repeat	0.000844439477031	7.92833173339	10.6214910979	16.482641358	0.570287308306	0.540352940207	0.547980681611	0.552319198775	0.555821692066	0.1	50	32	1	0.001	REAL	0.0	32	30	0.000844439477031	1	ddsf	50	64	2
even	0.780329405612	0.0628246743519	0.113149521789	2.82518755543	0.499053595214	0.618361229294	0.603392110752	0.582379428772	0.568146849966	0.2	50	32	1	0.0005	REAL	0.0	16	30	0.780329405612	2	dsf	10	512	2
rip	0.613336738384	0.620870286296	0.670893213699	4.56771511424	0.431997799708	0.430384551899	0.454619790751	0.458587832152	0.455849491376	0.2	100	32	1	0.001	REAL	0.0	32	30	0.613336738384	2	dsf	10	64	2
rrxor	0.472553659759	0.11408165157	0.228177373125	6.29535141547	0.838682403777	0.916722004104	0.909708021704	0.902787019226	0.895410202273	0.0	100	32	1	0.001	REAL	0.0	16	30	0.472553659759	3	ddsf	10	512	2
English	0.00791258251544	0.794717092168	13.5900191042	12.2000879084	1.89419674357	1.92268485835	1.91402009542	1.90732053441	1.90316329679	0.0	200	512	1	0.001	REAL_REAL	0.0	64	30	0.00791258251544	2	dsf	4	512	2
PTB	0.0441193388973	1.83554687148	14.1701224534	16.3890886997	4.67361419341	4.89454540454	4.87802912094	4.80652456698	4.78702749387	0.0	50	256	1	0.001	REAL	0.1	32	30	0.0441193388973	2	dsf	111	512	2
forget2_0_5b	0.249422408574	0.000145529741457	0.0177524293202	0.6931817411	0.569810773847	0.693091300415	0.62706547968	0.605048020191	0.594039891353	0.1	100	32	1	0.0001	REAL	0.0	16	30	0.249422408574	2	dsf	10	512	2
even	0.232923770165	0.627172736028	0.675295500078	9.85732630566	0.46131835181	0.463062340534	0.462671266848	0.462401327144	0.462228702513	0.2	100	32	1	0.001	REAL	0.0	64	30	0.232923770165	2	dsf	20	64	2
repeat2	0.0963241203226	10.1489469109	17.1111121414	10.3985594888	0.0166408385206	0.00543958822726	0.00850950624113	0.0101128267505	0.0108436471352	0.1	50	64	1	0.001	REAL	0.1	32	30	0.0963241203226	1	dsf	50	512	2
repeat	0.000619636398153	15.617884314	20.6229316997	16.887882179	0.0577478558367	0.0615571192879	0.0704085632999	0.0712268381142	0.068740045335	0.1	50	128	1	0.001	REAL	0.0	16	30	0.000619636398153	1	dsf	50	512	2
PTB	0.0137555689694	2.12389809211	28.6374262163	30.3952116855	4.63024941482	4.7302313224	4.77264440695	4.72753278387	4.72058725218	0.0	100	256	1	0.004	REAL	0.0	32	30	0.0137555689694	2	dsf	84	512	2
